review_id,review,date,sentiment_category,matched_negative_terms
29,"WoW! Este establecimiento es de los más especiales de todo Madrid!!! Debe su nombre a los propietarios fundadores Hermanos Díez (HD)

Situado en la calle de Guzmán el Bueno en el barrio de Argüelles, pertenece al grupo ""La Musa"": Limbo, Ojalá, Run Run Run, La Musa (casi nada, es un grupo muy potente), pero este es especial. Es especial porque han conservado un bar clásico fundado en 1962 con la decoración de la época (suelos, madera, la barra, paredes y hasta una tele echando películas antiguas, ..., parece todo salido de Cuéntame), pero vitaminado, más bien con esteroides, anabolizantes, ...

Con una sola reseña no es suficiente, el pincho de tortilla magnífico (8,5/10), pero es que deben poner una de las mejores hamburguesas (gourmet) de todo Madrid, desayunos de tipo americano, tortitas, gofres, postres, menú del día, etc ...

Si te puedes sentar en el sillón como yo delante de los antiguos ventanales, observando el ajetreo del establecimiento, con los ventiladores de techo abanicándote y escuchando la preciosa música pop española, es una experiencia muy recomendable! Me quedaría aquí horas, ...",2023-01-01,Negative,"['poder', 'si']"
35,"Cafetería en la calle Gaztambide del grupo la musa.

He ido varias veces ya, y la peor fue la del menú de medio día. Fuimos a las 15.10, y ya no le quedaba de nada en el menú. Solo una opción de cada plato, y por tanto tuvimos que pedir de carta.

Salvo por eso, la comida muy bien, de ahí mis 4 y no 5 estrellas. La hamburguesa francesa con foie muy buena y la ensalada de burrata también. La tarta de manzana fina, es un espectáculo.

Otra cosa a tener en cuenta es lo pequeño de las mesas y los espacios, que para comida comida, se hacen incómodos.

Las meriendas muy bien.",2022-01-01,Positive,"['vez', 'pedir']"
36,"He ido al local varias veces pero esta vez fuimos solo a tomar el postre. Como siempre estaba lleno, la comida tiene buena calidad y es abundante. Recomendada la tarta de manzana con helado, el pie de limón quizá un poco más ácido pero muy bueno también.
Volveremos la próxima a comer sus hamburguesas y sándwiches.",2023-01-01,Positive,['vez']
37,"El futuro de bares, restaurantes, cafeterías y establecimientos del ramo solamente permite dos posibilidades. Una de ellas es el cierre en el caso de no conseguir una abundante y habitual clientela. Si, por el contrario, el negocio se hace popular y los parroquianos acuden en masa, entonces la calidad del servicio empeora y el ambiente se deteriora, el condumio pierde calidad y las instalaciones precisan renovaciones, que a menudo afean el local o, al menos, rebajan sus encantos. Es la ley de la entropía hostelera, casi tan inexorable como la de la termodinámica. Esta cafetería ha pasado a encontrarse plenamente en esta segunda situación. La última vez que entré en ella para tomarme un café bien podría ser la última. Tardaron lo suyo en percatarse de que yo no era una columna o un mueble. Finalmente, me adjudicaron una de las varias mesas libres y me prohibieron ocupar otras. Debo proclamar que en este establecimiento hostelero han batido el récord de cercanía entre mesas: menos de 25 cm de separación entre la mía y cualquiera de las dos contiguas. Excepto en el metro, nunca había estado tan cerca de gente que no conocía. Si por lo menos los camareros nos hubieran presentado, habría sido menos embarazoso. Yo es que soy tímido y poco propenso al cotilleo al que puede dar pie oír nítidamente las conversaciones ajenas. Pasaron unos diez minutos hasta que tuve delante una simple taza de café. A todo esto, el estrépito que producían las numerosas cuchipandas que me rodeaban, obligaba a toda la concurrencia a levantar continuamente un poquito más la voz, deduzco que para hacer posible el diálogo. Por allí pululaban lo menos media docena de camareros, que a mí me hicieron poco caso, lo cual es comprensible por diversas razones, pero uno no termina de resignarse a la invisibilidad. La polifonía estridente de voces humanas se completaba con los sonidos del bajo de los temas musicales que debían estar sonando simultáneamente. Un olor penetrante a humedad de bodega era parte insoslayable de la experiencia sensorial. Según se incorporaban nuevos grupos de alegres consumidores, la algarabía se cargaba de decibelios y se me hacía tarea ardua no sólo la lectura, sino incluso el pensamiento. Acabé con el café en tres sorbos y escapé de aquel estruendoso tugurio que una vez fue lugar ameno de sonidos rumorosos, al que dediqué una reseña encomiástica. Maldita termodinámica social.",2023-01-01,Negative,"['poder', 'si', 'vez']"
43,"Hamburguesas ricas y bien elaboradas, servicio bueno, decoración my acertada, precio correcto!! No te olvides que también puedes desayunar y esta todo rico.",2024-08-01,Positive,['poder']
45,"Acudí para desayunar y todo fue bien. La comida estaba muy buena, cantidades aceptables, calidad de los alimentos buena y una correcta variedad de platos que pedir, con posibilidad incluso de desayuno tipo brunch.
El precio estándar y la atención por parte de los camareros fue buena, rápidos y simpáticos.
Recomiendo reservar ya que por poco nos quedamos sin mesa",2021-01-01,Positive,['pedir']
47,"El peor desayuno que tuve durante mis 3 días en Madrid.  Pedimos unos huevos revueltos y nos trajeron huevos secos y muy salados (muy diferentes a los huevos que veo en las fotos del Café en Google y a los huevos revueltos que he probado en otros cafés de Madrid).  Se olvidaron de darnos los cubiertos (los tuve que pedir) y tampoco trajeron la mantequilla y la mermelada que vienen incluidas con el pan que compramos.  Mi pan sin gluten vino servido en una bolsa de plástico.  Los churros eran lo único bueno.  Al final, nos cobraron una cantidad superior a la esperada en el menú y tuve que pedir la corrección (3 euros de diferencia).",2023-01-01,Negative,"['pedir', 'ver']"
48,"Actualmente si queréis terraza tenéis que reservar desde la web. Pro lo demás un sitio perfecto para probar cualquiera de sus hamburguesas (vienen sin patatas!!) y entrantes. Nosotros pedimos un par de dobles de cerveza, aros de cebolla para compartir, uña chessburger acompañada de patatas y un café. Salimos a 25 euros por cabeza, ni caro ni barato. Muy recomendable",2020-01-01,Positive,"['si', 'pedir']"
50,"Primera vez que me como una hamburguesa de verdad, Carlos muy majo.",2024-09-02,Negative,['vez']
52,"Sencillamente GENIAL.
Comida de 10 y servicio de 11. Uno de los mejores sitios (si no el mejor) para comer una hamburguesa espectacular en Madrid. Carta muy variada y original para no quedarte con hambre. Cuentan también con una selección de destilados amplísima y una carta de cócteles clásicos muy prometedora. Recomendable 1000% para cualquier tipo de público.",2018-01-01,Positive,['si']
54,"Hacia medio año que no íbamos y fuimos ayer a cenar. Vimos que había cambiado la carta. Han quitado opciones de comida internacional y han bajado mucho la calidad. Tomamos un tataki de atún muy escaso de acompañamiento y el pescado no parecía fresco. También yuca que la hemos tomado muchas veces acompañando la hamburguesa pero esta vez estaba tiesa, parecían palos de madera frita. La salsa no muy fresca. Para nosotros ha perdido muchísimo",2024-07-01,Negative,"['vez', 'ver']"
56,"Sitio muy agradable,  ambientado a lo retro y con mucho gusto. La comida estaba muy rica y pedí una limonada natural que fue todo un acierto.",2024-08-01,Positive,['pedir']
57,"Cafetería típica de los años 70, con la decoración de la época. Nos lo habían recomendado como las mejores hamburguesas de Madrid y desde luego que estaban increíbles. Pedimos la Eggburguer y venía con el queso gratinado, una maravilla para los sentidos. De las mejores hamburguesas que hemos probado, sin duda! Así que volveremos.",2023-11-01,Positive,['pedir']
61,"Lugar agradable, carta algo justa pero que cumple con todos los gustos. Buena hamburguesa, el sándwich que pedimos nada especial, pero bueno.
La atención de las camareras muy buena.
En general muy bien, de repetir.",2019-01-01,Positive,['pedir']
63,"Actualizo reseña porque he tenido una mala experiencia con el desayuno.

He visto cómo se manipulaban las porras con las manos a la vez que limpiaba la cocina y se tocaba la cara.

Una lástima que haya tenido que verlo porque me he tenido que ir sin desayunar.

Ya no puedo fiarme de lo que sirven aquí.",2024-05-01,Negative,"['poder', 'vez', 'ver']"
68,"Buen local donde ser sirve comida hasta tarde. Tienen una variada carta de hamburguesas, bastante buenas en general. Todas las veces que he ido me han atendido muy bien, por lo que se ha convertido en una opción de referencia cuando estoy por la zona.",2022-01-01,Positive,['vez']
69,"Brunch sueco
Pedimos este brunch. Las fotos del menú en Google estan mal: el precio ha subido, suponemos que por la crisis (14€/brunch).
De bebidas frías se pueden elegir refrescos, zumo o té helado, lo cual nos decepcionó un poco pues queríamos pedir smoothie de frutas o batido.
Por ello ponemos 4 estrellas en vez de 5: el precio y la bebida.
Por lo demás muy bueno, ponen el bagel muy relleno, con mucho salmón ahumado lo cual no ocurre en todos sitios. Merece la pena y es muy completito.",2023-01-01,Negative,"['poder', 'vez', 'pedir']"
70,"Sitio mítico del barrio, con una ambientación clásica años 50-60 que sale en muchas series y anuncios que vienen aquí a rodar de vez en cuando. Su especialidad es la hamburguesa, cuya calidad ha ido variando a lo largo del tiempo. Antes era top 3 de hamburgueserías de Madrid, ahora ha desmejorado un poco (u otros locales han igualado el nivel). Igualmente, merece la pena pasarse a ver el local y tomarse, aunque sea, un café.",2024-03-01,Positive,"['vez', 'ver']"
72,"RECOMENDABLE!
Local vintage, con buena comida y buenos precios. Fui a tomar un brunch, super completo por un precio muy económico.
La atención es estupenda y aunque en las reservas te indican que solo puedes estar máximo 1h30, si el local está vacío no te ponen ningún inconveniente",2021-01-01,Positive,"['poder', 'si']"
73,"Carta sencilla: sándwiches, hamburguesas, ensaladas... No es del otro mundo pero en conjunto está bien porque además la música y la decoración molan mucho . nosotros pedimos el sándwich Club y el plato vegetariano. Ambos estaban buenos aunque me quedaría con el plato vegetariano. Cantidad suficiente para quedar satisfecho. Camareros amables",2021-01-01,Positive,['pedir']
75,"Con todo el dolor de mi corazón debo suspender este sitio.
Con el aspecto del típico bar de Madrid (quizá algo más fino), y con unas hamburguesas realmente buenas te encuentras otros platos insuficientes.
El poke es escaso por 12 euros y el cilantro (que no se indica) es desproporcionado.
Las gyozas... mejor no entrar en detalles...
La cerveza de la casa muy rica pero cara (más de 4 euros un tercio no merece la pena). Insisto que no es un restaurante de etiqueta, es un bar.
Y finalmente una crema de limón que sabía a una mezcla entre queso y crema estropeada. Ni rastro de limón ni de texturas cremosas, totalmente un desacierto. Incomible. No quiero ser grosero pero el aspecto habla por si solo.",2021-01-01,Negative,['si']
77,"Restaurante de estilo vintage, han dejado el local como hace medio siglo.
Tienen 2 turnos para cenar el sábado (mejor reservar).
Tienen una gran cantidad de cervezas de muchos estilos distintos, y la carta de la cena es bastante amplia. Yo me pedí una hamburguesa de 180 grs, que seguramente lo tendrá antes de cocinar; pq después se queda en poco (estaba muy rica!!!!!).
El postre una tarta de manzana con helado mascarpone (brutal).",2020-01-01,Negative,['pedir']
81,"Yadiel, un encanto. Una maravilla y ha tratado muy bien a mi perrito en plena ola de calor le ha traído agüita dos veces sin tener que pedirlo. Volveremos.",2024-09-02,Positive,"['vez', 'pedir']"
84,"Fue una experiencia increíble, nos encontramos este sitio por casualidad y no podríamos haber elegido uno mejor. El trato de Yadiel fue increíble, volveremos sin duda",2024-09-02,Positive,['poder']
85,"Hamburgueseria con encanto en pleno barrio.
Para reservar terraza ahora es necesario hacerlo vía web.
El trato por parte de todos los trabajadores siempre es de 10.
La relación calidad/precio es correcta; las hamburguesas normales vienen sin patatas (algo a tener en cuenta); pero las world si que las traen incluidas (que por cierto, las patatas están buenísimas).
La carta de cervezas también es muy amplia.
Os dejo foto de la hamburguesa gallega (buey, lacón, queso san Simón, ajada, pimientos de Padrón y, en mi caso, sin canónigos pero con huevo) BRUTAL.",2021-01-01,Positive,['si']
86,"He ido varias veces a comer y a cenar y las hamburguesas están muy ricas, el trato es muy bueno y cercano. En esta última ocasión nos atendió Jihan y estuvimos comodísimos, muy atenta y educada.",2024-05-01,Positive,['vez']
94,"Iba con optimismo ya que tengo aprecio a este sitio, pese a que las últimas veces que he ido y he llevado a gente, la comida no ha estado nada bien; como por ejemplo un gofre carbonizado que intentaron colarme del revés para no darme cuenta o no acordarse de añadir al plato ciertos ingredientes, que luego sí se acordaban de añadir a la cuenta… Pero por lo que veo, no mejora la cosa…

Francamente decepcionante el brunch de este sitio. A parte de haber subido de precio, antes costaba menos de 10€ y ahora 12,50€, las cantidades son realmente escasas para lo que se paga. Cuando nos han traído el plato, como podéis observar con un montón de espacio, demasiado grande para la cantidad de comida que hay… y con esas tortitas de un tamaño tan pequeño que parecía que nos estaban tomando el pelo… pues nos hemos llevado una decepción enorme. Viendo fotos del brunch en otras reseñas, claramente las tortitas eran más grandes y contundentes que las que nos pusieron a nosotros, por lo que me imagino que se debería de acabar la masa, o simplemente nos pusieron malamente unas descongeladas o industriales del supermercado… Sea como sea, eran las 12:00h del mediodía, típica hora para hacer un brunch… por lo que la excusa de que quizá no quedaban ingredientes no es válida.

De sabor como tal está bueno, sobre todo los tomates asados (o mejor dicho, la porción de tomate, singular), y la tacita de café y el zumo que acompaña al brunch, aunque tampoco vienen en demasiada cantidad. Por cierto, la taza grande que sale en la foto es una taza de leche que pedimos con Cola-Cao, no es café.

Este brunch te lo haces en casa por 5 o 6€. Literalmente.

Claramente no volveré!",2022-01-01,Negative,"['poder', 'vez', 'pedir', 'ver']"
95,"Es un buen sitio con buen ambiente y los trabajadores son muy agradables.
Por lo que vimos, la gente viene por sus hamburguesas y gofres. Las hamburguesas están muy buenas, sin embargo los gofres tenían muy buena pinta pero sabían a sándwich total y no ha sido muy agradable para nosotros.
Otra cosa que no nos ha gustado ha sido que pedimos expresamente una mesa y al llegar estaba ocupada. Entendimos que estuviese ocupada por otra persona y pedimos otra mesa que nos pareció algo más cómoda que en la que nos habían sentado, sin embargo nos dijeron que no nos podrían sentar allí porque la había reservado alguien. Después la que habíamos reservado se quedó libre, pero nos dijeron que no podríamos sentar allí porque vendría más gente que había reservado, en toda nuestra comida no vimos aparecer a la gente de la segunda mesa y nos ha parecido que no se ha tenido en consideración nuestra situación.
A pesar de todo, no salimos con mala experiencia por el trato cordial y las hamburguesas, por ello pongo 3 estrellas.",2022-01-01,Positive,"['poder', 'pedir', 'ver']"
96,"Una de las mejores burgers de Madrid. Buen ambiente, buena música de fondo y una carne espectacular. Volveré sin duda, me he quedado con ganas de probar más tipos de burgers. Le pongo 4 de 5 estrellas porque el servicio fue muy lento, aunque volveré para comprobar si ha sido algo puntual y modificar mi rating.",2017-01-01,Positive,['si']
98,"Tengo q recomendar este sitio, hemos estado mis amigas y yo tomando y picando algo de comer, tanto calidad como servicio un 12, además el camarero Yadiel nos ha tratado como si estuviéramos en casa, muy recomendable.",2024-07-01,Positive,['si']
100,"Un maravilloso ambiente. Seguido de una amable oferta del camarero para ver si queríamos patatas, batatas o aros de cebolla acompañando a la hamburguesa que habíamos pedido. Acompañamiento por el que nos cobrarían sin avisar 2.60€ y 4€. Tened cuidado con esa cosas aquí.",2018-01-01,Positive,"['si', 'pedir', 'ver']"
103,"Hacía mucho que no iba, y todo sigue con la misma calidad y ganas de hacerlo bien.
El restaurante muy cuidado con un ambiente muy acogedor. Un sitio al que hay que ir.
Si ademas tienes la suerte de que tu camarera sea Brenda, no podrás estar mejor atendido.",2024-03-01,Neutral,['si']
106,"Lo conocimos porque es del grupo de restaurantes ""la Musa"". Las hamburguesas están muy ricas y son bastante grandes. También muy buenos los aros de cebolla y los postres. Para los amantes del vermú, lo tienen de varios sabores y es bastante artesanal.
Los camareros muy amables.
Buen ambiente.
Es un sitio un poco estrecho si vas un grupo grande, por ponerle algún ""pero"".
Volveremos.",2024-01-01,Positive,['si']
107,"Estupenda cafetería con aire retro, y enorme terraza, atendida de forma excepcional y con una de gran variedad de desayunos desde el típico café con porras hasta un desayuno americano. Si vuelvo a Madrid y me alojo de nuevo cerca, sin duda, volveré.",2023-01-01,Positive,['si']
109,"El lugar se encuentra ubicado en una calle céntrica, fuimos una amiga y yo, por la recomendación de un familiar. El precio de las hamburguesas es accesible y el tamaño de estas te deja lleno y satisfecho. Dependiendo del tipo de hamburguesa puede o no tener patatas. En mi caso, ordene una Cheeseburguer y una ración de patatas y quede satisfecha.",2021-01-01,Positive,['poder']
111,"Pedimos un menú del día, y las raciones fueron ridículamente pequeñas. En otras ocasiones al pedir de carta, buenas raciones y calidad del producto. Pero el menú muy mejorable.",2024-05-01,Neutral,['pedir']
116,"No puedo bajar la valoración por su comida porque todo está magnífico, desde sus hamburguesas, hasta su tartar de atún o su risotto. Aconsejo probar tanto como desayuno o merienda o tanto como postre su tarta de zanahoria, es exquisita! Cada vez que puedo voy.",2022-01-01,Negative,"['poder', 'vez']"
117,"UN LOCAL CON AIRE OCHENTERO DONDE EL SERVICIO, LA CALIDAD Y VARIEDAD DE SUS PLATOS TE HACEN TRANSPORTARTE A LOS 70/80
LA DECORACIÓN DEL LUGAR ES UNO DE LOS PUNTOS CLAVES PARA LOGRAR UNA ATMÓSFERA ACOGEDORA
DESAYUNOS VARIADOS CON PAN DE TODAS LAS VARIEDADES Y LA OFERTA DE SUS SÁNDWICHES, BURGERS ETC NO TIENE NADA QUE ENVIDIAR A SU MENÚ DIARIO

VOLVERÉ MUCHAS MÁS VECES
100% RECOMENDABLE",2019-01-01,Positive,['vez']
119,"La calidad de los platos es buena, la atención puede mejorar",2023-01-01,Positive,['poder']
120,"Me senté en la barra que mira frente a la calle. Un asiento de primera fila para ver pasar Madrid. Dos niñas de cinco años devoraban un hot dog con gran maestría y a una sola mano.

No pude evitar pedir uno.

Cuando llegó me hizo sentir pequeño. Intenté atajarlo a mordidas, pero cuidado, la salchicha se resbala. Recurrí a los cubiertos, pero ojo que también resbala.

Terminé matando al perrito con todos los recursos disponibles. Las manos llenas de queso cheddar, restos de cebolla caramelizada en las uñas y catsup en la nariz.

Me sentí como un niño de cinco años.",2021-01-01,Negative,"['poder', 'pedir', 'ver']"
122,"Local Craft , cocina Excelente. Hamburguesas de las mejores de Madrid,  +400 primeras marcas de bebidas y coctelería , ginebras artesanales, destilados a mano. No puedes perdértelo, terraza de copeo... ambiente concurrido y buena música ...",2019-01-01,Positive,['poder']
123,"Un sitio muy agradable ya sea para tomar algo, cenar o merendar.
Todas las veces que hemos ido el trato ha sido agradable y la comida muy buena.
Seguiremos viniendo!",2022-01-01,Positive,['vez']
124,Hamburguesas muy elaboradas le doy un 8 a la hamburguesa. Tardaron un poco en servir por eso le doy 4 puntos. Si te gustan las hamburguesas debes visitarlo.,2020-01-01,Negative,['si']
128,"Local de estética antigua, con una carta amplia en la que te puedes encontrar raciones, ensaladas, hamburguesas, ... Recomiendo la Burger, grande y con producto de calidad.
Los camareros son correctos, y el servicio rápido.
Se puede ir sin reserva, el local es bastante grande, y suele haber alguna mesita. La terraza también es bastante amplia.",2020-01-01,Neutral,['poder']
131,"Llegar sin reserva (éramos 2) un viernes a cenar es una locura, pero Adrián no sólo se preocupó de encontrarnos mesa, sino que estuvo pendiente en todo momento de nosotros y hasta me regañó (en plan bien, Adrián regaña bonito) por no terminar mi hamburguesa. Hacía años que no venía y cada vez es mejor. Enhorabuena.",2023-11-01,Negative,['vez']
140,"Llevo años pidiendo la famosa egg-burger.
Increíble el sabor de la carne.
El queso tostado al horno y el huevo potencian el sabor de la ternera.
Insisto: increíble el sabor de la carne.
No es barata, no es cara. Pero está tan buena que vale la pena el precio.
El sitio es genial, es una cafetería de hace 50 años bien conservada.
La pega que le pongo es que las mesas son muuuuy pequeñas y justas de tamaño.",2024-01-01,Positive,['pedir']
142,"Hamburguesa muy buena, quizás el pan un poco frío lo podrían calentar un poco. Y el gofre muy muy rico, se nota que es casero.
Los precios un poco ajustados.",2018-01-01,Positive,['poder']
145,"Me encanta este local, la comida está muy buena, en especial las hamburguesas.
La atención del personal es buenísima, son realmente majos y muy agradables!

Muy recomendable visitarlo, aparte que el sitio en si es bastante acogedor y merece la pena verlo!",2019-01-01,Positive,"['si', 'ver']"
148,"Calidad precio muy bien,y la atención bastante buena volvería otra vez.",2024-08-01,Positive,['vez']
149,"Le pongo un 4 porque lo único que le falla a este sitio es la lentitud del servicio a pesar de que son siempre varios camareros. Ha pasado desde que lo conozco hace mil años, pero por fin hoy me he animado a comentar a ver si se pudiera mejorar un poco el tiempo de espera hasta que te atienden. Tanto para tomar nota como para pedir cuenta.
Por lo demás la comida está buenísima y unos precios muy asequibles dada su calidad. El local ha mantenido su antigua estética de cuando estaban los Hermanos Diez y se está muy a gusto.",2023-01-01,Negative,"['poder', 'si', 'pedir', 'ver']"
152,"En nuestra #RutaDelGofre visitamos este mítico lugar de Madrid. Aquí nos encontramos con un gofre de estilo americano, es decir, circular, crocante y de tamaño más que generoso. Nosotros lo acompañamos con una bola de helado de vainilla, aunque también puedes pedirte el Gofre HD, que viene en la parte de postres con varios toppings. De sabor dulce y textura crocante pero algo seco para nuestro gusto, eso sí, la bola de helado ayuda a equilibrarlo y hacía que cada bocado fuera una fiesta.",2017-01-01,Positive,"['poder', 'pedir']"
154,"Fuimos 4 adultos y 3 niños pequeños. El menú me ha sorprendido gratamente:

- Las hamburguesas tienen una calidad brutal, la carne se nota que es de mucha calidad.
- Pedimos unas patatas bravas y la salsa es la auténtica, hecha de forma casera.
- También me gusto que tuviesen Lagunitas IPA de barril, es una de mis favoritas.

A destacar tambien la amabilidad y paciencia del personal. Repetiré seguro.",2023-11-01,Positive,['pedir']
157,De esos sitios que tienen malas maneras los empleados. Caro y con las nueve bebidas que pedimos pusieron 6 aceitunas. Pro sobre todo las malas formas de los camareros. Les merece la pena recibir estas críticas??,2024-02-01,Negative,['pedir']
165,"Un clásico en Madrid, en el que retrocedes a los 60, donde te puedes tomar una buena hamburguesa y acabar con un gintonic. Servicio amable. Mejor reservar para poder sentarse.",2018-01-01,Negative,['poder']
168,"excelente sitio, muy agradable, con ricas hamburguesas y  buenos desayunos,  pero la música ambiental de dentro podría estar mucho mejor.  Es demasiado estridente y ruidosa, creo que seria mejor una música ambiental a un volumen normal.  Se dificulta la comunicación mucho.  Creo que seria una mejora a implementar",2023-11-01,Positive,['poder']
170,El local esta bastante bien. Aunque últimamente los platos están un poco preparados a la carrera. Otras veces has estado mejor.,2018-01-01,Positive,['vez']
173,"Un lugar fantástico para desayunar, aunque tal vez tengas que madrugar un poco más para que la tortilla esté en su punto.",2024-03-01,Positive,['vez']
174,Sitio brutal para comer hamburguesas. El pan de las hamburguesas es un lujo. Los aros de cebolla están perfectos. Los postres también están muy bueno. El trato siempre es perfecto las veces que hemos ido. Muy recomendable para degustar hamburguesas en Madrid,2023-01-01,Positive,['vez']
175,"Recomiendo las hamburguesas y sandwiches, tambien ir a desayunar, pero no hay que salirse de esto. Estuvimos ayer cenando y la verdad, es que fue un tanto decepcionante la comida. Pedimos una ensalada de Burrata y puerros, y bueno, una burrata en el medio del plato y 5 trocitos de puerro muy bien colocados alrededor de 4 canónigos...y luego un postre que se hacia llamar Lemon Pie, pero bastante malo, muy industrial, extra dulce y parecía hecho desde hace días ya que el merengue parecía chicle. Eso si, lo comentamos al camarero y recibió muy bienla críticica y nos dió las gracias. COmo siempre el servicio muy bueno.",2023-01-01,Negative,"['si', 'pedir']"
176,"No es por la estupenda carta de cafetería (pese a sus precios) ni por el entorno retromoderno y actual a la vez, ni por la música atemporal que no estorba las conversaciones. Lo más agradable de todo es el trato amable y atento de su personal.",2024-01-01,Positive,['vez']
180,"Sinceramente, he pasado por este lugar cientos de veces y siempre pensé que era un buen lugar para parar a tomar una copa. Estaba MUY equivocado: ¡la comida es divina!
Comimos el tataki de atún y la ensalada buttata y compartimos papas fritas, y luego también compartimos una tarta de limón.
¡Todo fue absolutamente delicioso, cuidadosamente elaborado para ser agradable al paladar y a la vista! Mi única recomendación sería servir los puerros calientes en lugar de fríos (en la ensalada), ¡pero todo estuvo perfecto!
Punto extra: la lista de ginebra es interminable. Ven aquí y prueba una ginebra nueva cada vez.
¡Un saludo al personal que estaba muy ocupado y aún así logró ser absolutamente encantador!",2024-03-01,Positive,"['vez', 'ver']"
186,Éste era un lugar decente. Lamentablemente nos sirvieron pan mohoso dos veces. Desayunamos y almorzamos allí. La comida no era muy saludable pero estaba deliciosa (excepto el pan mohoso).,2023-01-01,Neutral,['vez']
